,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
145,698.0,Oman (Sultanate of Muscat and Oman),Asia,http://www.wikidata.org/entity/Q842,,,,,Oman,1816.0,1971.0,Sovereign (unrecognized),698.0,698.0
146,95.0,Panama,America,http://www.wikidata.org/entity/Q804,,,,,Panama,1903.0,2020.0,Sovereign,95.0,95.0
147,150.0,Paraguay,America,http://www.wikidata.org/entity/Q733,,,,,Paraguay,1816.0,2020.0,Sovereign,150.0,150.0
148,986.0,Palau,Oceania,http://www.wikidata.org/entity/Q695,,,,,Pelew,1816.0,1947.0,Part of,9810.0,
149,630.0,Iran (Persia),Asia,http://www.wikidata.org/entity/Q794,,,,,Persia,1855.0,2020.0,Sovereign,630.0,630.0
150,135.0,Peru,America,http://www.wikidata.org/entity/Q419,,,,,Peru,1839.0,2020.0,Sovereign,135.0,135.0
151,840.0,Philippines,Asia,http://www.wikidata.org/entity/Q928,,,,,Philippines,1898.0,1942.0,Colony of,2.0,
152,9620.0,Pitcairn Is.,Oceania,http://www.wikidata.org/entity/Q35672,,,,,Pitcairn,1839.0,2020.0,Colony of,200.0,
153,235.0,Portugal,Europe,http://www.wikidata.org/entity/Q45,,,,,Portugal,1816.0,2020.0,Sovereign,235.0,235.0
154,541.0,Mozambique,Africa,http://www.wikidata.org/entity/Q1029,,,,,Portuguese East Africa ,1816.0,1975.0,Colony of,235.0,
155,860.0,East Timor (Portuguese Timor),Asia,http://www.wikidata.org/entity/Q142965,http://www.wikidata.org/entity/Q574,,,,Portuguese Timor,1816.0,1942.0,Colony of,235.0,
156,404.0,Guinea-Bissau (Portuguese Guinea),Africa,http://www.wikidata.org/entity/Q2002279,http://www.wikidata.org/entity/Q1007,,,,Portuguese West Africa,1879.0,1974.0,Colony of,235.0,
157,6.0,Puerto Rico,America,http://www.wikidata.org/entity/Q1183,,,,,Puerto Rico,1898.0,1952.0,Colony of,2.0,
158,585.0,Reunion,Africa,http://www.wikidata.org/entity/Q17070,,,,,Réunion,1816.0,1947.0,Colony of,220.0,
159,6064.0,Melilla,Africa,http://www.wikidata.org/entity/Q5831,,,,,Rio De Oro,1913.0,1956.0,Part of,602.0,
160,412.0,Rio Muni,Africa,http://www.wikidata.org/entity/Q845368,,,,,Rio Muni,1816.0,1960.0,Part of,411.0,
161,360.0,Romania,Europe,http://www.wikidata.org/entity/Q218,,,,,Rumania,1878.0,2020.0,Sovereign,360.0,360.0
162,365.0,Russia (USSR),Europe,http://www.wikidata.org/entity/Q159,,,,,Russian Federation,1816.0,2020.0,Sovereign,365.0,365.0
163,1067.0,Saba,America,http://www.wikidata.org/entity/Q25528,,,,,Saba,1828.0,2010.0,Part of,1074.0,
164,56.0,St. Lucia,America,http://www.wikidata.org/entity/Q760,,,,,Saint Lucia,1833.0,1958.0,Part of,1055.0,
165,57.0,St. Vincent and the Grenadines,America,http://www.wikidata.org/entity/Q757,,,,,Saint Vincent and the Grenadines,1833.0,1958.0,Part of,1055.0,
166,991.0,American Samoa,Oceania,http://www.wikidata.org/entity/Q16641,,,,,Samoa,1900.0,2020.0,Colony of,2.0,
167,331.0,San Marino,Europe,http://www.wikidata.org/entity/Q238,,,,,San Marino,1816.0,1992.0,Sovereign (unrecognized),331.0,331.0
168,433.0,Senegal,Africa,http://www.wikidata.org/entity/Q1041,,,,,Senegal,1895.0,1958.0,Part of,430.0,
169,342.0,Serbia,Europe,https://www.wikidata.org/wiki/Q403,,,,,Serbia,1878.0,1918.0,Sovereign,342.0,342.0
170,591.0,Seychelles,Africa,http://www.wikidata.org/entity/Q1042,,,,,Seychelles,1903.0,1976.0,Colony of,200.0,
171,800.0,Thailand (Siam),Asia,http://www.wikidata.org/entity/Q869,,,,,Siam,1887.0,2020.0,Sovereign,800.0,800.0
172,451.0,Sierra Leone,Africa,http://www.wikidata.org/entity/Q1044,,,,,Sierra Leone,1816.0,1961.0,Colony of,200.0,
173,451.0,Sierra Leone,Africa,http://www.wikidata.org/entity/Q1044,,,,,Sierra Leone,1896.0,1961.0,Protectorate of,200.0,
174,830.0,Singapore,Asia,http://www.wikidata.org/entity/Q334,,,,,Singapore,1826.0,1946.0,Part of,827.0,
175,940.0,Solomon Islands (British Solomon Islands Protectorate),Oceania,http://www.wikidata.org/entity/Q685,,,,,Solomon Islands,1893.0,1978.0,Protectorate of,200.0,
176,560.0,South Africa,Africa,http://www.wikidata.org/entity/Q258,,,,,South Africa ,1910.0,1920.0,Colony of,200.0,
177,9984.0,South Sandwich Is.,Oceania,http://www.wikidata.org/entity/Q118223,,,,,South Georgia and South Sandwich Islands,1908.0,1985.0,Part of,1163.0,
178,230.0,Spain,Europe,http://www.wikidata.org/entity/Q29,,,,,Spain,1816.0,2020.0,Sovereign,230.0,230.0
179,6021.0,Southern zone of Spanish Morocco,Africa,http://www.wikidata.org/entity/Q1538846,,,,,Spanish  Morocco,1912.0,1956.0,Part of,602.0,
180,60.0,St. Kitts-Nevis,America,http://www.wikidata.org/entity/Q763,,,,,St. Christopher Islands,1882.0,1956.0,Part of,1063.0,
181,3386.0,Svalbard Is.,Europe,http://www.wikidata.org/entity/Q25231,,,,,Svalbard,1816.0,1925.0,Discovered,3386.0,3386.0
182,380.0,Sweden,Europe,http://www.wikidata.org/entity/Q34,,,,,Sweden,1816.0,2020.0,Sovereign,380.0,380.0
183,225.0,Switzerland,Europe,http://www.wikidata.org/entity/Q39,,,,,Switzerland,1816.0,2020.0,Sovereign,225.0,225.0
184,1029.0,St. Pierre and Miquelon,America,http://www.wikidata.org/entity/Q34617,,,,,Sydney Miquelon Island,1816.0,1985.0,Colony of,220.0,
185,3.0,Alaska,America,http://www.wikidata.org/entity/Q797,,,,,Territory Of Alaska,1867.0,1959.0,Colony of,2.0,
186,4.0,Hawaii,America,http://www.wikidata.org/entity/Q782,,,,,Territory of Hawaii,1898.0,1960.0,Colony of,2.0,
187,911.0,Papua,Oceania,http://www.wikidata.org/entity/Q5095,,,,,Territory of Papua,1888.0,1920.0,Colony of,200.0,
188,460.0,German Togoland,Africa,http://www.wikidata.org/entity/Q161062,,,,,Togo,1884.0,1916.0,Colony of,255.0,
189,9201.0,Tokelau Is.,Oceania,http://www.wikidata.org/entity/Q36823,,,,,Tokelau,1877.0,1916.0,Protectorate of,200.0,
190,955.0,Tonga (Ha'apai),Oceania,http://www.wikidata.org/entity/Q678,https://www.wikidata.org/wiki/Q612098,,,,Tonga,1900.0,1970.0,Protectorate of,200.0,
191,52.0,Trinidad and Tobago,America,http://www.wikidata.org/entity/Q754,,,,,Trinidad ,1816.0,1958.0,Colony of,200.0,
192,6203.0,Tripolitania,Africa,http://www.wikidata.org/entity/Q192435,,,,,Tripoli,1912.0,1919.0,Part of,620.0,
193,9603.0,Tuamotu Is.,Oceania,http://www.wikidata.org/entity/Q183963,,,,,Tuamotu Archipelago,1903.0,2020.0,Part of,960.0,
194,616.0,Tunisia,Africa,http://www.wikidata.org/entity/Q948,,,,,Tunis,1881.0,1956.0,Protectorate of,220.0,
195,640.0,Turkey (Ottoman Empire),Asia,http://www.wikidata.org/entity/Q43,,,,,Turkey,1816.0,2020.0,Sovereign,640.0,640.0
196,500.0,Uganda,Africa,http://www.wikidata.org/entity/Q1036,,,,,Uganda,1894.0,1962.0,Protectorate of,200.0,
