,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
1030,710,People's Republic of China (China),1860,2020,Sovereign,
1035,712,Mongolia,1911,1919,Sovereign (unrecognized),
1040,713,Republic of China (Taiwan) (Formosa),1895,1945,Colony of,740.0
1045,720,Hong Kong,1841,1942,Colony of,200.0
1049,721,Macao,1816,1999,Colony of,235.0
1055,730,Korea (Chosen),1910,1945,Colony of,740.0
1063,735,Far Eastern Republic,1816,1920,Part of,365.0
1067,740,Japan,1860,1945,Sovereign,
1071,741,Ryukyu Is.,1879,1945,Part of,740.0
1075,750,India,1816,1947,Colony of,200.0
1078,751,French India,1816,1954,Colony of,220.0
1080,752,"Portuguese India (incl. Goa, Diu, Daman)",1816,1961,Colony of,235.0
1084,760,Bhutan,1865,1949,Protectorate of,200.0
1088,761,Sikkim,1861,1949,Protectorate of,200.0
1091,770,Pakistan,1849,1947,Part of,750.0
1096,775,Myanmar (Burma),1886,1937,Part of,750.0
1102,780,Sri Lanka (Ceylon),1833,1948,Colony of,200.0
1105,781,Maldive Islands,1887,1965,Protectorate of,200.0
1107,790,Nepal,1816,1923,Protectorate of,200.0
1110,800,Thailand (Siam),1887,2020,Sovereign,
1112,810,French Indochina,1887,1941,Colony of,220.0
1124,811,Cambodia (Kampuchea),1887,1953,Part of,810.0
1128,812,Laos,1893,1954,Part of,810.0
1132,815,Vietnam,1887,1949,Part of,810.0
1146,821,Federated Malay States,1896,1942,Colony of,200.0
1153,823,Sabah (North Borneo),1888,1942,Protectorate of,200.0
1160,824,Sarawak,1888,1941,Protectorate of,200.0
1164,827,Straits Settlements,1826,1942,Colony of,200.0
1172,830,Singapore,1826,1946,Part of,827.0
1177,835,Brunei,1888,1941,Protectorate of,200.0
1183,840,Philippines,1898,1942,Colony of,2.0
1188,850,Indonesia (Dutch East Indies),1816,1949,Colony of,210.0
1192,851,West Irian (Dutch New Guinea),1828,1942,Part of,850.0
1199,860,East Timor (Portuguese Timor),1816,1942,Colony of,235.0
1206,900,Australia,1901,1919,Colony of,200.0
1209,901,New South Wales,1901,2020,Part of,900.0
1212,902,Western Australia,1901,2020,Part of,900.0
1215,903,South Australia,1901,2020,Part of,900.0
1218,904,Victoria,1901,2020,Part of,900.0
1221,905,Queensland,1901,2020,Part of,900.0
1224,906,Tasmania,1901,2020,Part of,900.0
1230,911,Papua,1888,1920,Colony of,200.0
1239,920,New Zealand,1840,1920,Colony of,200.0
1243,925,Cook Is.,1901,1965,Colony of,920.0
1246,930,New Caledonia and Dependencies,1853,1946,Colony of,220.0
1250,935,Vanuatu (New Hebrides),1906,1980,Colony of,200.0
1251,935,Vanuatu (New Hebrides),1906,1980,Colony of,220.0
1254,940,Solomon Islands (British Solomon Islands Protectorate),1893,1978,Protectorate of,200.0
1256,945,Gilbert and Ellice Is.,1892,1916,Protectorate of,200.0
1261,946,Kiribati,1892,1975,Part of,945.0
1265,947,Tuvalu,1892,1975,Part of,945.0
1270,950,Fiji,1874,1970,Colony of,200.0
1273,955,Tonga (Ha'apai),1900,1970,Protectorate of,200.0
1278,960,French Polynesia,1903,2020,Colony of,220.0
1299,984,Northern Marianas Is.,1898,1919,Part of,912.0
1305,985,Guam,1898,1941,Colony of,2.0
1308,986,Republic of Palau,1816,1947,Part of,9810.0
1311,987,Federated States of Micronesia,1816,1947,Part of,9810.0
1322,991,American Samoa,1900,2020,Colony of,2.0
1328,1003,Attu and Kiska,1816,1942,Part of,3.0
1333,1004,North Carolina,1865,2020,Part of,2.0
1336,1005,Virginia,1865,2020,Part of,2.0
1339,1006,Tennessee,1865,2020,Part of,2.0
1342,1007,Arkansas,1865,2020,Part of,2.0
1346,1008,Florida,1865,2020,Part of,2.0
1349,1009,South Carolina (Palmetto Republic),1865,2020,Part of,2.0
1352,1010,Georgia (U.S.),1865,2020,Part of,2.0
1356,1011,Alabama,1865,2020,Part of,2.0
1360,1012,Mississippi,1865,2020,Part of,2.0
1364,1013,Louisiana,1865,2020,Part of,2.0
1367,1014,California (Great Bear Republic),1846,2020,Part of,2.0
1368,1015,Cherokee,1816,2020,Part of,2.0
1377,1016,Oregon (Oregon Country),1848,2020,Part of,2.0
1383,1019,Rupert's Land,1870,2020,Dissolved into,1035.0
1384,1019,Rupert's Land,1870,2020,Dissolved into,1036.0
1385,1019,Rupert's Land,1870,2020,Dissolved into,1037.0
1388,1020,San Juan Island,1872,2020,Part of,2.0
1390,1021,Cape Breton I.,1820,2020,Part of,1022.0
1392,1022,Nova Scotia,1867,2020,Part of,20.0
1394,1023,New Brunswick,1867,2020,Part of,20.0
1396,1024,Prince Edward Is.,1873,2020,Part of,20.0
1398,1025,Quebec (Lower Canada),1841,2020,Part of,20.0
1400,1026,Ontario (Upper Canada),1841,2020,Part of,20.0
1404,1027,British Columbia,1871,2020,Part of,20.0
1407,1028,Vancouver,1866,2020,Part of,1027.0
1409,1029,St. Pierre and Miquelon,1816,1985,Colony of,220.0
1413,1031,Mayaguana,1816,1940,Part of,31.0
1417,1032,Turks and Caicos Is.,1848,1962,Part of,51.0
1420,1033,Cayman Is.,1816,1962,Part of,51.0
1426,1035,Manitoba,1870,2020,Part of,20.0
1429,1036,Alberta,1870,2020,Part of,20.0
1432,1037,Saskatchewan,1870,2020,Part of,20.0
1433,1038,Labrador,1816,1927,Part of,21.0
1434,1038,Labrador,1816,1927,Claimed by,20.0
1437,1040,Guantanamo,1903,2020,Leased to,2.0
1439,1041,North Haiti,1820,2020,Part of,41.0
1442,1044,Navassa I.,1874,2020,Claimed by,41.0
1443,1044,Navassa I.,1903,2020,Dependency of,2.0
1446,1049,Tobago,1889,2020,Part of,52.0
1451,1055,Windward Is.,1833,1960,Colony of,200.0
1452,1056,Gros Islet Bay,1816,1940,Part of,56.0
1456,1058,Barbuda,1860,2020,Part of,58.0
1460,1061,British Virgin Is.,1833,1956,Part of,1063.0
1464,1062,Anguilla,1882,1969,Part of,60.0
1466,1063,Leeward Is.,1833,1956,Colony of,200.0
