,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
192,580.0,Madagascar (Malagasy Republic),1896,1960.0,Colony of,220.0
193,581.0,Comoros,1912,1946.0,Part of,580.0
194,585.0,Reunion,1816,1947.0,Colony of,220.0
195,590.0,Mauritius,1816,1968.0,Colony of,200.0
196,591.0,Seychelles,1903,1976.0,Colony of,200.0
197,600.0,Morocco,1912,1956.0,Protectorate of,220.0
198,601.0,Tangier,1911,1923.0,Part of,602.0
199,602.0,Spanish Morocco,1912,1946.0,Protectorate of,230.0
200,605.0,Ifni,1816,1934.0,Part of,600.0
201,609.0,Sahrawi Arab Democratic Republic (Western Sahara) (Spanish Sahara),1884,1958.0,Protectorate of,230.0
202,615.0,Algeria,1831,1962.0,Colony of,220.0
203,616.0,Tunisia,1881,1956.0,Protectorate of,220.0
204,620.0,"Libya (Tripolitania, Cyrenaica, Fezzan)",1912,1919.0,Colony of,325.0
205,625.0,North Sudan (Sudan) (Anglo-Egyptian),1898,1956.0,Colony of,200.0
206,630.0,Iran (Persia),1855,2020.0,Sovereign,
207,630.0,Iran (Persia),1911,1919.0,Occupied by,200.0
208,630.0,Iran (Persia),1911,1917.0,Occupied by,365.0
209,640.0,Turkey (Ottoman Empire),1816,2020.0,Sovereign,
210,645.0,Iraq (Mesopotamia),1816,1917.0,Part of,640.0
211,652.0,Syria,1840,1918.0,Part of,640.0
212,660.0,Lebanon,1816,1918.0,Part of,640.0
213,663.0,Jordan (Transjordan),1816,1918.0,Part of,640.0
214,665.0,Palestine,1816,1918.0,Part of,640.0
215,670.0,Saudi Arabia (Emirate of Nejd),1902,1927.0,Sovereign (unrecognized),
216,671.0,Hejaz Sultanate,1841,1916.0,Part of,640.0
217,673.0,Al Hasa,1913,2020.0,Part of,670.0
218,674.0,Jabal Shammar,1836,1921.0,Sovereign (unrecognized),
219,678.0,Yemen Arab Republic (North Yemen) (Kingdom of Yemen),1871,1918.0,Part of,640.0
220,681.0,Aden,1838,1962.0,Colony of,200.0
221,682.0,Aden Protectorate,1872,1937.0,Protectorate of,200.0
222,690.0,Kuwait,1899,1961.0,Protectorate of,200.0
223,692.0,Bahrain,1820,1971.0,Protectorate of,200.0
224,694.0,Qatar,1871,1916.0,Part of,640.0
225,694.0,Qatar,1896,1971.0,Protectorate of,200.0
226,696.0,United Arab Emirates (Trucial Oman),1892,1971.0,Protectorate of,200.0
227,698.0,Oman (Sultanate of Muscat and Oman),1816,1971.0,Sovereign (unrecognized),
228,700.0,Afghanistan,1879,1919.0,Protectorate of,200.0
229,701.0,Turkmenistan,1881,1991.0,Part of,365.0
230,702.0,Tajikistan,1868,1991.0,Part of,365.0
231,703.0,Kyrgyzstan,1876,1991.0,Part of,365.0
232,704.0,Uzbekistan,1816,1920.0,Part of,7010.0
233,704.0,Uzbekistan,1816,1920.0,Part of,7020.0
234,704.0,Uzbekistan,1816,1920.0,Part of,7030.0
235,705.0,Kazakhstan,1848,1991.0,Part of,365.0
236,710.0,People's Republic of China (China),1860,2020.0,Sovereign,
237,712.0,Mongolia,1911,1919.0,Sovereign (unrecognized),
238,713.0,Republic of China (Taiwan) (Formosa),1895,1945.0,Colony of,740.0
239,720.0,Hong Kong,1841,1942.0,Colony of,200.0
240,721.0,Macao,1816,1999.0,Colony of,235.0
241,730.0,Korea (Chosen),1910,1945.0,Colony of,740.0
242,735.0,Far Eastern Republic,1816,1920.0,Part of,365.0
243,740.0,Japan,1860,1945.0,Sovereign,
244,741.0,Ryukyu Is.,1879,1945.0,Part of,740.0
245,750.0,India,1816,1947.0,Colony of,200.0
246,751.0,French India,1816,1954.0,Colony of,220.0
247,752.0,"Portuguese India (incl. Goa, Diu, Daman)",1816,1961.0,Colony of,235.0
248,760.0,Bhutan,1865,1949.0,Protectorate of,200.0
249,761.0,Sikkim,1861,1949.0,Protectorate of,200.0
250,770.0,Pakistan,1849,1947.0,Part of,750.0
251,775.0,Myanmar (Burma),1886,1937.0,Part of,750.0
252,780.0,Sri Lanka (Ceylon),1833,1948.0,Colony of,200.0
253,781.0,Maldive Islands,1887,1965.0,Protectorate of,200.0
254,790.0,Nepal,1816,1923.0,Protectorate of,200.0
255,800.0,Thailand (Siam),1887,2020.0,Sovereign,
256,810.0,French Indochina,1887,1941.0,Colony of,220.0
257,811.0,Cambodia (Kampuchea),1887,1953.0,Part of,810.0
258,812.0,Laos,1893,1954.0,Part of,810.0
259,815.0,Vietnam,1887,1949.0,Part of,810.0
260,821.0,Federated Malay States,1896,1942.0,Colony of,200.0
261,823.0,Sabah (North Borneo),1888,1942.0,Protectorate of,200.0
262,824.0,Sarawak,1888,1941.0,Protectorate of,200.0
263,827.0,Straits Settlements,1826,1942.0,Colony of,200.0
264,830.0,Singapore,1826,1946.0,Part of,827.0
265,835.0,Brunei,1888,1941.0,Protectorate of,200.0
