,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign&dependency_GPH_code,Dependency_GPH_code
123,720,Hong Kong,Asia,http://www.wikidata.org/entity/Q8646,,,,,Hong Kong,1841.0,1942.0,Colony of,200.0,
124,721,Macao,Asia,http://www.wikidata.org/entity/Q14773,,,,,Macao,1816.0,1999.0,Colony of,235.0,
125,730,Korea (Chosen),Asia,http://www.wikidata.org/entity/Q28179,http://www.wikidata.org/entity/Q503585,,,,Chosen (Korea),1910.0,1945.0,Colony of,740.0,
126,740,Japan,Asia,http://www.wikidata.org/entity/Q17,,,,,Japan,1860.0,1945.0,Sovereign,740.0,740.0
127,750,India,Asia,http://www.wikidata.org/entity/Q668,,,,,India,1816.0,1947.0,Colony of,200.0,
128,760,Bhutan,Asia,http://www.wikidata.org/entity/Q917,,,,,Bhutan,1865.0,1949.0,Protectorate of,200.0,
129,775,Myanmar (Burma),Asia,http://www.wikidata.org/entity/Q836,,,,,British Burma,1886.0,1937.0,Part of,750.0,
130,780,Sri Lanka (Ceylon),Asia,http://www.wikidata.org/entity/Q854,,,,,Ceylon,1833.0,1948.0,Colony of,200.0,
131,781,Maldive Islands,Asia,http://www.wikidata.org/entity/Q17044696,,,,,Maldives,1887.0,1965.0,Protectorate of,200.0,
132,790,Nepal,Asia,http://www.wikidata.org/entity/Q837,,,,,Nepal,1816.0,1923.0,Protectorate of,200.0,
133,800,Thailand (Siam),Asia,http://www.wikidata.org/entity/Q869,,,,,Siam,1887.0,2020.0,Sovereign,800.0,800.0
134,810,French Indochina,Asia,http://www.wikidata.org/entity/Q185682,,,,,French Indo China,1887.0,1941.0,Colony of,220.0,
135,821,Federated Malay States,Asia,http://www.wikidata.org/entity/Q1400154,,,,,British Malaya,1896.0,1942.0,Colony of,200.0,
136,830,Singapore,Asia,http://www.wikidata.org/entity/Q334,,,,,Singapore,1826.0,1946.0,Part of,827.0,
137,840,Philippines,Asia,http://www.wikidata.org/entity/Q928,,,,,Philippines,1898.0,1942.0,Colony of,2.0,
138,850,Indonesia (Dutch East Indies),Asia,http://www.wikidata.org/entity/Q188161,,,,,Dutch East Indies,1816.0,1949.0,Colony of,210.0,
139,851,West Irian (Dutch New Guinea),Asia,http://www.wikidata.org/entity/Q941881,,,,,Dutch Guiana,1828.0,1942.0,Part of,850.0,
140,860,East Timor (Portuguese Timor),Asia,http://www.wikidata.org/entity/Q142965,http://www.wikidata.org/entity/Q574,,,,Portuguese Timor,1816.0,1942.0,Colony of,235.0,
141,900,Australia,Oceania,http://www.wikidata.org/entity/Q408,,,,,Australia,1901.0,1919.0,Colony of,200.0,
142,911,Papua,Oceania,http://www.wikidata.org/entity/Q5095,,,,,Territory of Papua,1888.0,1920.0,Colony of,200.0,
143,920,New Zealand,Oceania,http://www.wikidata.org/entity/Q664,,,,,New Zealand,1840.0,1920.0,Colony of,200.0,
144,925,Cook Is.,Oceania,http://www.wikidata.org/entity/Q26988,,,,,Cook Islands,1901.0,1965.0,Colony of,920.0,
145,930,New Caledonia and Dependencies,Oceania,http://www.wikidata.org/entity/Q33788,,,,,New Caledonia,1853.0,1946.0,Colony of,220.0,
146,935,Vanuatu (New Hebrides),Oceania,http://www.wikidata.org/entity/Q752431,,,,,New Hebrides Island,1906.0,1980.0,Colony of,200.0,
147,940,Solomon Islands (British Solomon Islands Protectorate),Oceania,http://www.wikidata.org/entity/Q685,,,,,Solomon Islands,1893.0,1978.0,Protectorate of,200.0,
148,945,Gilbert and Ellice Is.,Oceania,http://www.wikidata.org/entity/Q1050859,,,,,Ellice Island,1892.0,1916.0,Protectorate of,200.0,
149,945,Gilbert and Ellice Is.,Oceania,http://www.wikidata.org/entity/Q1050859,,,,,Gilbert Islands,1892.0,1916.0,Protectorate of,200.0,
150,950,Fiji,Oceania,http://www.wikidata.org/entity/Q712,,,,,Fiji,1874.0,1970.0,Colony of,200.0,
151,955,Tonga (Ha'apai),Oceania,http://www.wikidata.org/entity/Q678,https://www.wikidata.org/wiki/Q612098,,,,Tonga,1900.0,1970.0,Protectorate of,200.0,
152,960,French Polynesia,Oceania,http://www.wikidata.org/entity/Q30971,,,,,French Southern Territories,1903.0,2020.0,Colony of,220.0,
153,984,Northern Marianas Is.,Oceania,http://www.wikidata.org/entity/Q16644,,,,,Northern Mariana Islands,1898.0,1919.0,Part of,912.0,
154,985,Guam,Oceania,http://www.wikidata.org/entity/Q16635,,,,,Guam,1898.0,1941.0,Colony of,2.0,
155,986,Palau,Oceania,http://www.wikidata.org/entity/Q695,,,,,Pelew,1816.0,1947.0,Part of,9810.0,
156,991,American Samoa,Oceania,http://www.wikidata.org/entity/Q16641,,,,,Samoa,1900.0,2020.0,Colony of,2.0,
157,1029,St. Pierre and Miquelon,America,http://www.wikidata.org/entity/Q34617,,,,,Sydney Miquelon Island,1816.0,1985.0,Colony of,220.0,
158,1033,Cayman Island,America,http://www.wikidata.org/entity/Q5785,,,,,Cayman Islands,1816.0,1962.0,Part of,51.0,
159,1062,Anguilla,America,http://www.wikidata.org/entity/Q25228,,,,,Anguilla,1882.0,1969.0,Part of,60.0,
160,1065,Curacao,America,http://www.wikidata.org/entity/Q25279,,,,,Curacao,1828.0,2010.0,Part of,68.0,
161,1066,Bonaire,America,http://www.wikidata.org/entity/Q25396,,,,,Bonaire,1828.0,2010.0,Part of,68.0,
162,1067,Saba,America,http://www.wikidata.org/entity/Q25528,,,,,Saba,1828.0,2010.0,Part of,1074.0,
163,1069,Aruba,America,http://www.wikidata.org/entity/Q21203,,,,,Aruba,1828.0,1986.0,Part of,68.0,
164,1163,Falkland Is.,America,http://www.wikidata.org/entity/Q9648,,,,,Falkland Islands,1833.0,2020.0,Colony of,200.0,
165,3386,Svalbard Is.,Europe,http://www.wikidata.org/entity/Q25231,,,,,Svalbard,1816.0,1925.0,Discovered,3386.0,3386.0
166,3387,Jan Mayen Is.,Europe,http://www.wikidata.org/entity/Q14056,,,,,Jan Mayen,1816.0,1921.0,Discovered,3387.0,3387.0
167,3521,UN Buffer Zone in Cyprus,Europe,http://www.wikidata.org/entity/Q116970,,,,,Cyprus,1878.0,1974.0,Part of,352.0,
168,4070,Ascension I.,Africa,http://www.wikidata.org/entity/Q46197,,,,,Ascension Island,1816.0,1922.0,Possession of,200.0,
169,5200,Italian Somaliland,Africa,http://www.wikidata.org/entity/Q319984,,,,,Italian Somaliland,1905.0,1936.0,Colony of,325.0,
170,5807,Juan de Nova I.,Africa,http://www.wikidata.org/entity/Q237034,,,,,Juan De Nova Island,1897.0,2020.0,Possession of,220.0,
171,5808,Glorioso I.,Africa,http://www.wikidata.org/entity/Q236601,,,,,Glorioso Islands,1892.0,2020.0,Possession of,220.0,
172,5812,Mayotte,Africa,http://www.wikidata.org/entity/Q17063,,,,,Mayotte,1886.0,1975.0,Part of,581.0,
173,5920,British Indian Ocean Territory (Chagos Archipelago),Africa,http://www.wikidata.org/entity/Q43448,,,,,Chagos Islands,1816.0,1965.0,Part of,590.0,
